"",power,power,"",FALSE,0692022e,"",https://www.wikidata.org/wiki/Q55091534
"",exponent,exponent,"",FALSE,0f7a0372,"",https://www.wikidata.org/wiki/Q2233915
"",factor,factor,"",FALSE,08870280,"",https://www.wikidata.org/wiki/Q50708
"",multiplicand,multiplicand,"",FALSE,21570507,"",https://www.wikidata.org/wiki/Q54639911
"",multiplier,multiplier,"",FALSE,17c20448,"",https://www.wikidata.org/wiki/Q54639923
"",multiplication,multiplication,"",FALSE,2cd805ef,"",https://www.wikidata.org/wiki/Q40276
"",ordered pair,ordered pair,"",FALSE,1f0d04b2,"",https://www.wikidata.org/wiki/Q191290
"",union,union,"",FALSE,068d022a,"",https://www.wikidata.org/wiki/Q185359
"",binomial,binomial,"",FALSE,0ed3034c,"",https://www.wikidata.org/wiki/Q193623
"",volume,volume,"",FALSE,09430299,"",https://www.wikidata.org/wiki/Q39297
"",bound,bound,"",FALSE,064a0219,"",https://www.wikidata.org/wiki/Q13222579
"",decahedron,decahedron,"",FALSE,15d9040e,"",https://www.wikidata.org/wiki/Q1183559
"",topology,topology,"",FALSE,0fc0037e,"",https://www.wikidata.org/wiki/Q18786106
"",trace,trace,"",FALSE,065f0210,"",https://www.wikidata.org/wiki/Q321102
"",compactification,compactification,"",FALSE,380a069e,"",https://www.wikidata.org/wiki/Q546145
"",dimension,dimension,"",FALSE,12a703c7,"",https://www.wikidata.org/wiki/Q4440864
"",fiber,fiber,"",FALSE,06090209,"",https://www.wikidata.org/wiki/Q1640811
"",genus,genus,"",FALSE,3eec06a2,"",https://www.wikidata.org/wiki/Q28517129
"",gerbe,gerbe,"",FALSE,061b0206,"",https://www.wikidata.org/wiki/Q118705
"",polynomial,polynomial,"",FALSE,17dc0445,"",https://www.wikidata.org/wiki/Q43260
"",moduli space,moduli space,"",FALSE,1f3e04b7,"",https://www.wikidata.org/wiki/Q845677
"",orbifold,orbifold,"",FALSE,0f180352,"",https://www.wikidata.org/wiki/Q40460
"",singularity,singularity,"",FALSE,78d409c6,"",https://www.wikidata.org/wiki/Q863349
"",blow-up,blow-up,"",FALSE,165503f8,"",https://www.wikidata.org/wiki/Q1036595
"",representation,representation,"",FALSE,2cac05f4,"",https://www.wikidata.org/wiki/Q2905654
"",character,character,"",FALSE,ecdc0d84,"",https://www.wikidata.org/wiki/Q600043
"",subspace,subspace,"",FALSE,0f6c0357,"",https://www.wikidata.org/wiki/Q91328142
"",composition series,composition series,"",FALSE,46d40760,"",https://www.wikidata.org/wiki/Q2525646
"",infimum,infimum,"",FALSE,0bba02f6,"",https://www.wikidata.org/wiki/Q1199948
"",supremum,supremum,"",FALSE,0fdf037f,"",https://www.wikidata.org/wiki/Q215071
"",contradiction,contradiction,"",FALSE,260c0572,"",https://www.wikidata.org/wiki/Q363948
"",proof by contradiction,proof by contradiction,"",FALSE,623b08b3,"",https://www.wikidata.org/wiki/Q184899
"",group ring,group ring,"",FALSE,164303fe,"",https://www.wikidata.org/wiki/Q2602722
"",correspondence,correspondence,"",FALSE,2c7005db,"",https://www.wikidata.org/wiki/Q1322856
"",eigenvector,eigenvector,"",FALSE,1b3a049c,"",https://www.wikidata.org/wiki/Q3555174
"",eigenvalue,eigenvalue,"",FALSE,16a10426,"",https://www.wikidata.org/wiki/Q3553768
"",limit,limit,"",FALSE,06520220,"",https://www.wikidata.org/wiki/Q1322614
"",Lie algebra,Lie algebra,"",FALSE,17270409,"",https://www.wikidata.org/wiki/Q664495
